year,hour,변화율
2023.0,3.0,
2023.0,5.0,11.599999999999998
2023.0,9.0,-1.0144999999999995
2023.0,10.0,2.2855555555555567
2023.0,11.0,5.495454545454545
2023.0,12.0,-20.890000000000004
2023.0,13.0,-0.07333333333333296
2023.0,14.0,0.2862500000000008
2023.0,15.0,1.8880000000000006
2023.0,16.0,-8.35
2023.0,17.0,9.67
2023.0,18.0,-20.709999999999997
2023.0,20.0,28.639999999999993
2024.0,0.0,-0.8279999999999996
2024.0,1.0,3.9099999999999997
2024.0,2.0,-1.809999999999997
2024.0,3.0,-7.9300000000000015
2024.0,5.0,2.8100000000000005
2024.0,6.0,2.6733333333333342
2024.0,7.0,-3.3900000000000006
2024.0,8.0,-0.12037037037037024
2024.0,9.0,0.030709219858156167
2024.0,10.0,0.5387209302325581
2024.0,11.0,-0.6823611111111111
2024.0,12.0,0.1285964912280705
2024.0,13.0,-0.03362068965517222
2024.0,14.0,-0.12132530120481937
2024.0,15.0,-0.005915492957746519
2024.0,16.0,0.31529411764705884
2024.0,17.0,0.7299999999999999
2024.0,18.0,-1.2212500000000002
2024.0,19.0,-1.5933333333333337
2024.0,20.0,0.06999999999999769
2024.0,21.0,13.749999999999998
2024.0,22.0,-16.52
2024.0,23.0,7.623333333333333
2025.0,0.0,
2025.0,1.0,13.989999999999998
2025.0,2.0,7.260000000000002
2025.0,5.0,-12.21
2025.0,7.0,-9.670000000000002
2025.0,8.0,3.4455555555555555
2025.0,9.0,-0.6471428571428571
2025.0,10.0,0.15814814814814865
2025.0,11.0,-0.20666666666666642
2025.0,12.0,0.032173913043478115
2025.0,13.0,0.4376470588235294
2025.0,14.0,0.16799999999999973
2025.0,15.0,2.9971428571428573
2025.0,16.0,-1.3200000000000003
2025.0,17.0,-2.6071428571428554
2025.0,18.0,-12.629999999999999
2025.0,19.0,18.24
2025.0,20.0,-51.419999999999995
2025.0,21.0,1.895
2025.0,22.0,-1.9699999999999998
,,
